Pair #: 1	Jaccard: 0.3333333333333333	Title 1: RET ACTIVATION BY GERMLINE MEN2A AND MEN2B MUTATIONS	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:borrello, alberti, arighi, bocciardi, bongarzone, eng, greco, lorenzo, miranda, mondellini, pasini, pierotti, ponder, romeo, scopsi, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 12	Jaccard: 0.3333333333333333	Title 1: OPTIMAL DETERMINATION OF PARTICLE ORIENTATION, ABSOLUTE HAND, AND CONTRAST LOSS IN SINGLE-PARTICLE ELECTRON CRYOMICROSCOPY"	Title 2: ACCURATE DETERMINATION OF LOCAL DEFOCUS AND SPECIMEN TILT IN ELECTRON MICROSCOPY	Authors: [:rosenthal, henderson]	Authors: [:mindell, grigorieff]	
Pair #: 13	Jaccard: 0.3333333333333333	Title 1: THE HUMAN DIGEORGE SYNDROME CRITICAL REGION GENE 8 AND ITS D-MELANOGASTER HOMOLOG ARE REQUIRED FOR MIRNA BIOGENESIS	Title 2: PROCESSING OF PRIMARY MICRORNAS BY THE MICROPROCESSOR COMPLEX	Authors: [:landthaler, tuschl, yalcin]	Authors: [:denli, hannon, ketting, plasterk, tops]	
Pair #: 14	Jaccard: 0.3333333333333333	Title 1: THE HUMAN DIGEORGE SYNDROME CRITICAL REGION GENE 8 AND ITS D-MELANOGASTER HOMOLOG ARE REQUIRED FOR MIRNA BIOGENESIS	Title 2: THE DROSHA-DGCR8 COMPLEX IN PRIMARY MICRORNA PROCESSING	Authors: [:landthaler, tuschl, yalcin]	Authors: [:han, jin, kim, kim, lee, yeom]	
Pair #: 15	Jaccard: 0.3333333333333333	Title 1: THE GUT MICROBIOTA AS AN ENVIRONMENTAL FACTOR THAT REGULATES FAT STORAGE	Title 2: BROWN ADIPOSE TISSUE: FUNCTION AND PHYSIOLOGICAL SIGNIFICANCE	Authors: [:backhed, ding, gordon, hooper, koh, nagy, semenkovich, wang]	Authors: [:cannon, nedergaard]	
Pair #: 16	Jaccard: 0.3333333333333333	Title 1: THE DROSHA-DGCR8 COMPLEX IN PRIMARY MICRORNA PROCESSING	Title 2: PROCESSING OF PRIMARY MICRORNAS BY THE MICROPROCESSOR COMPLEX	Authors: [:han, jin, kim, kim, lee, yeom]	Authors: [:denli, hannon, ketting, plasterk, tops]	
Pair #: 17	Jaccard: 0.5	Title 1: INTERVENING SEQUENCES OF REGULARLY SPACED PROKARYOTIC REPEATS DERIVE FROM FOREIGN GENETIC ELEMENTS	Title 2: CLUSTERED REGULARLY INTERSPACED SHORT PALINDROME REPEATS (CRISPRS) HAVE SPACERS OF EXTRACHROMOSOMAL ORIGIN	Authors: [:mojica, diez-villasenor, garcia-martinez, soria]	Authors: [:bolotin, ehrlich, ouinquis, sorokin]	
Pair #: 18	Jaccard: 0.3333333333333333	Title 1: RNA-QUALITY CONTROL BY THE EXOSOME	Title 2: RECONSTITUTION, ACTIVITIES, AND STRUCTURE OF THE EUKARYOTIC RNA EXOSOME"	Authors: [:houseley, lacava, tollervey]	Authors: [:liu, greimann, lima]	
Pair #: 19	Jaccard: 0.4	Title 1: N6-METHYLADENINE: THE OTHER METHYLATED BASE OF DNA	Title 2: N-6-METHYL-ADENINE: AN EPIGENETIC SIGNAL FOR DNA-PROTEIN INTERACTIONS	Authors: [:ratel, berger, ravanat, wion]	Authors: [:wion, casadesus]	
Pair #: 20	Jaccard: 0.3333333333333333	Title 1: THE IMMORTAL STRAND HYPOTHESIS: SEGREGATION AND RECONSTRUCTION	Title 2: MECHANISMS OF EPIGENETIC INHERITANCE	Authors: [:rando]	Authors: [:martin, zhang]	
Pair #: 21	Jaccard: 0.3333333333333333	Title 1: THE HUMAN DISEASE NETWORK	Title 2: CLUSTAL W AND CLUSTAL X VERSION 2.0	Authors: [:goh, barabasi, childs, cusick, valle, vidal]	Authors: [:larkin, blackshields, brown, chenna, gibson, higgins, lopez, mcgettigan, mcwilliam, thompson, valentin, wallace, wilm]	
Pair #: 22	Jaccard: 0.3333333333333333	Title 1: SUN1 IS REQUIRED FOR TELOMERE ATTACHMENT TO NUCLEAR ENVELOPE AND GAMETOGENESIS IN MICE	Title 2: POSITIONAL STABILITY OF SINGLE DOUBLE-STRAND BREAKS IN MAMMALIAN CELLS	Authors: [:ding, han, xu, xu, yu, zhuang]	Authors: [:soutoglou, danuser, dorn, jasin, misteli, nussenzweig, ried, sengupta]	
Pair #: 23	Jaccard: 0.3333333333333333	Title 1: STRUCTURAL DEFINITION OF A CONSERVED NEUTRALIZATION EPITOPE ON HIV-1 GP120	Title 2: BEAST: BAYESIAN EVOLUTIONARY ANALYSIS BY SAMPLING TREES	Authors: [:zhou, arthos, burton, dey, dimitrov, hessell, kwong, nabel, sodroski, van ryk, wyatt, xiang, xu, yang, zhang, zwick]	Authors: [:drummond, rambaut]	
Pair #: 24	Jaccard: 0.3333333333333333	Title 1: SALMONELLA ENTERICA SEROVAR TYPHIMURIUM EXPLOITS INFLAMMATION TO COMPETE WITH THE INTESTINAL MICROBIOTA	Title 2: HOST-MEDIATED INFLAMMATION DISRUPTS THE INTESTINAL MICROBIOTA AND PROMOTES THE OVERGROWTH OF ENTEROBACTERIACEAE (VOL 2, PG 119, 2007)"	Authors: [:stecher, barthel, buer, chaffron, dougan, hardt, kremer, macpherson, parkhill, robbiani, von mering, walker, westendorf]	Authors: [:lupp, champion, finlay, gaynor, robertson, sekirov, wickham]	
Pair #: 25	Jaccard: 0.3333333333333333	Title 1: MOLECULAR MECHANISMS OF ANTIBODY SOMATIC HYPERMUTATION	Title 2: DISCOVERY OF ACTIVATION-INDUCED CYTIDINE DEAMINASE, THE ENGRAVER OF ANTIBODY MEMORY."	Authors: [:di nola, neuberger]	Authors: [:muramatsu, begum, honjo, nagaoka, shinkura]	
Pair #: 26	Jaccard: 0.3333333333333333	Title 1: MOLECULAR BASIS FOR TARGET RNA RECOGNITION AND CLEAVAGE BY HUMAN RISC	Title 2: MICRORNA TARGETING SPECIFICITY IN MAMMALS: DETERMINANTS BEYOND SEED PAIRING	Authors: [:ameres, martinez, schroeder]	Authors: [:grimson, bartel, farh, garrett-engele, johnston, lim]	
Pair #: 27	Jaccard: 0.3333333333333333	Title 1: INDUCTION OF PLURIPOTENT STEM CELLS FROM ADULT HUMAN FIBROBLASTS BY DEFINED FACTORS	Title 2: INDUCED PLURIPOTENT STEM CELL LINES DERIVED FROM HUMAN SOMATIC CELLS	Authors: [:takahashi, ichisaka, narita, ohnuki, tanabe, tomoda, yamanaka]	Authors: [:yu, antosiewicz-bourget, frane, jonsdottir, nie, ruotti, slukvin, smuga-otto, stewart, thomson, tian, vodyanik]	
Pair #: 28	Jaccard: 0.3333333333333333	Title 1: UNIQUE PROPERTIES OF MESOPREFRONTAL NEURONS WITHIN A DUAL MESOCORTICOLIMBIC DOPAMINE SYSTEM	Title 2: MIDBRAIN DOPAMINE NEURONS: PROJECTION TARGET DETERMINES ACTION POTENTIAL DURATION AND DOPAMINE D-2 RECEPTOR INHIBITION	Authors: [:lammel, haeckel, hetzel, jones, liss, roeper]	Authors: [:margolis, fields, hjelmstad, ishikawa, mitchell]	
Pair #: 29	Jaccard: 0.3333333333333333	Title 1: ULTRASTRUCTURAL PLASTICITY IN THE RAT SUPRACHIASMATIC NUCLEUS. POSSIBLE INVOLVEMENT IN CLOCK ENTRAINMENT	Title 2: CIRCADIAN REMODELING OF NEURONAL CIRCUITS INVOLVED IN RHYTHMIC BEHAVIOR	Authors: [:becquet, bosler, francois-bellan, girardet, guillaumond]	Authors: [:fernandez, berni, ceriani]	
Pair #: 30	Jaccard: 0.3333333333333333	Title 1: TRANSCRIPTIONAL REPRESSION MEDIATED BY REPOSITIONING OF GENES TO THE NUCLEAR LAMINA	Title 2: RECRUITMENT TO THE NUCLEAR PERIPHERY CAN ALTER EXPRESSION OF GENES IN HUMAN CELLS	Authors: [:reddy, bertolino, singh, zullo]	Authors: [:finlan, bickmore, boyle, chubb, kerr, perry, sproul, thomson, ylstra]	
Pair #: 31	Jaccard: 0.3333333333333333	Title 1: TRANSCRIPTIONAL REGULATION BY AIRE: MOLECULAR MECHANISMS OF CENTRAL TOLERANCE	Title 2: EVOLUTIONARILY CONSERVED AND DIVERGENT REGIONS OF THE AUTOIMMUNE REGULATOR (AIRE) GENE: A COMPARATIVE ANALYSIS	Authors: [:peterson, org, rebane]	Authors: [:saltis, criscitiello, flajnik, goitsuka, keefe, ohta, trede]	
Pair #: 32	Jaccard: 0.3333333333333333	Title 1: THE REPERTOIRE AND DYNAMICS OF EVOLUTIONARY ADAPTATIONS TO CONTROLLED NUTRIENT-LIMITED ENVIRONMENTS IN YEAST	Title 2: ANEUPLOIDY AFFECTS PROLIFERATION AND SPONTANEOUS IMMORTALIZATION IN MAMMALIAN CELLS	Authors: [:gresham, botstein, desai, desevo, dunham, jenq, pai, tucker, ward]	Authors: [:williams, amon, glazier, housman, hunter, prabhu, whittaker]	
Pair #: 33	Jaccard: 0.3333333333333333	Title 1: THE COLOR-VISION CIRCUIT IN THE MEDULLA OF DROSOPHILA	Title 2: A SCREEN OF CELL-SURFACE MOLECULES IDENTIFIES LEUCINE-RICH REPEAT PROTEINS AS KEY MEDIATORS OF SYNAPTIC TARGET SELECTION	Authors: [:morante, desplan]	Authors: [:kurusu, cording, menon, suzuki, taniguchi, zinn]	
Pair #: 34	Jaccard: 0.3333333333333333	Title 1: STOCHASTICITY AND CELL FATE	Title 2: DYNAMIC EQUILIBRIUM AND HETEROGENEITY OF MOUSE PLURIPOTENT STEM CELLS WITH DISTINCT FUNCTIONAL AND EPIGENETIC STATES	Authors: [:losick, desplan]	Authors: [:hayashi, lopes, surani, tang]	
Pair #: 35	Jaccard: 0.4	Title 1: SMALL CRISPR RNAS GUIDE ANTIVIRAL DEFENSE IN PROKARYOTES	Title 2: CRISPR INTERFERENCE LIMITS HORIZONTAL GENE TRANSFER IN STAPHYLOCOCCI BY TARGETING DNA	Authors: [:brouns, dickman, jore, koonin, lundgren, makarova, slijkhuis, snijders, van der oost, westra]	Authors: [:marraffini, sontheimer]	
Pair #: 36	Jaccard: 0.4	Title 1: SMALL CRISPR RNAS GUIDE ANTIVIRAL DEFENSE IN PROKARYOTES	Title 2: PHAGE RESPONSE TO CRISPR-ENCODED RESISTANCE IN STREPTOCOCCUS THERMOPHILUS	Authors: [:brouns, dickman, jore, koonin, lundgren, makarova, slijkhuis, snijders, van der oost, westra]	Authors: [:deveau, barrangou, boyaval, fremaux, garneau, horvath, labonte, moineau, romero]	
Pair #: 37	Jaccard: 0.5	Title 1: RNA EXOSOME DEPLETION REVEALS TRANSCRIPTION UPSTREAM OF ACTIVE HUMAN PROMOTERS	Title 2: DIVERGENT TRANSCRIPTION FROM ACTIVE PROMOTERS	Authors: [:preker, christensen, jensen, kammler, lykke-andersen, mapendano, nielsen, schierup]	Authors: [:seila, calabrese, flynn, levine, rahl, sharp, yeo, young]	
Pair #: 38	Jaccard: 0.4	Title 1: RNA EXOSOME DEPLETION REVEALS TRANSCRIPTION UPSTREAM OF ACTIVE HUMAN PROMOTERS	Title 2: NASCENT RNA SEQUENCING REVEALS WIDESPREAD PAUSING AND DIVERGENT INITIATION AT HUMAN PROMOTERS	Authors: [:preker, christensen, jensen, kammler, lykke-andersen, mapendano, nielsen, schierup]	Authors: [:core, lis, waterfall]	
Pair #: 39	Jaccard: 0.5	Title 1: PHAGE RESPONSE TO CRISPR-ENCODED RESISTANCE IN STREPTOCOCCUS THERMOPHILUS	Title 2: CRISPR INTERFERENCE LIMITS HORIZONTAL GENE TRANSFER IN STAPHYLOCOCCI BY TARGETING DNA	Authors: [:deveau, barrangou, boyaval, fremaux, garneau, horvath, labonte, moineau, romero]	Authors: [:marraffini, sontheimer]	
Pair #: 40	Jaccard: 0.3333333333333333	Title 1: ORGANIZATION OF MAMMALIAN LOCOMOTOR RHYTHM AND PATTERN GENERATION	Title 2: GENETIC ABLATION OF V2A IPSILATERAL INTERNEURONS DISRUPTS LEFT-RIGHT LOCOMOTOR COORDINATION IN MAMMALIAN SPINAL CORD	Authors: [:mccrea, rybak]	Authors: [:crone, droho, endo, jessell, kiehn, lundfald, quinlan, restrepo, setlak, sharma, zagoraiou]	
Pair #: 41	Jaccard: 0.3333333333333333	Title 1: NEURAL STEM CELLS CONFER UNIQUE PINWHEEL ARCHITECTURE TO THE VENTRICULAR SURFACE IN NEUROGENIC REGIONS OF THE ADULT BRAIN	Title 2: MECHANISMS AND FUNCTIONAL IMPLICATIONS OF ADULT NEUROGENESIS	Authors: [:mirzadeh, alvarez-buylla, manuel garcia-verdugo, merkle, soriano-navarro]	Authors: [:zhao, deng, gage]	
Pair #: 42	Jaccard: 0.4	Title 1: NASCENT RNA SEQUENCING REVEALS WIDESPREAD PAUSING AND DIVERGENT INITIATION AT HUMAN PROMOTERS	Title 2: DIVERGENT TRANSCRIPTION FROM ACTIVE PROMOTERS	Authors: [:core, lis, waterfall]	Authors: [:seila, calabrese, flynn, levine, rahl, sharp, yeo, young]	
Pair #: 43	Jaccard: 0.3333333333333333	Title 1: LARGE DIFFERENCES IN AGING PHENOTYPE BETWEEN STRAINS OF THE SHORT-LIVED ANNUAL FISH NOTHOBRANCHIUS FURZERI	Title 2: FUNCTIONALLY SIGNIFICANT INSULIN-LIKE GROWTH FACTOR I RECEPTOR MUTATIONS IN CENTENARIANS	Authors: [:terzibasi, benedetti, cattaneo, cellerino, domenici, roncaglia, valenzano]	Authors: [:suh, atzmon, barzilai, cho, cohen, hwang, leahy, liu]	
Pair #: 44	Jaccard: 0.3333333333333333	Title 1: INTEGRATING HIGH-CONTENT SCREENING AND LIGAND-TARGET PREDICTION TO IDENTIFY MECHANISM OF ACTION	Title 2: CELLPROFILER ANALYST: DATA EXPLORATION AND ANALYSIS SOFTWARE FOR COMPLEX IMAGE-BASED SCREENS	Authors: [:young, bender, chirn, feng, hoyt, jenkins, labow, mcwhinnie, mitchison, tallarico, tao]	Authors: [:jones, carpenter, golland, kang, lindquist, papallo, sabatini, wheeler]	
Pair #: 45	Jaccard: 0.5	Title 1: TWO TYPES OF DOPAMINE NEURON DISTINCTLY CONVEY POSITIVE AND NEGATIVE MOTIVATIONAL SIGNALS	Title 2: PHASIC EXCITATION OF DOPAMINE NEURONS IN VENTRAL VTA BY NOXIOUS STIMULI	Authors: [:matsumoto, hikosaka]	Authors: [:brischoux, brierley, chakraborty, ungless]	
Pair #: 46	Jaccard: 0.3333333333333333	Title 1: TINY RNAS ASSOCIATED WITH TRANSCRIPTION START SITES IN ANIMALS	Title 2: DIVERGENT TRANSCRIPTION A NEW FEATURE OF ACTIVE PROMOTERS	Authors: [:taft, arakawa, carninci, cloonan, daub, faulkner, forrest, fukuda, glazov, grimmond, hayashida, hayashizaki, hume, irvine, kawai, kawazu, kubosaki, lassmann, mattick, murata, nakamura, nishiyori, orlando, schroder, simons, stephen, suzuki]	Authors: [:seila, core, lis, sharp]	
Pair #: 47	Jaccard: 0.3333333333333333	Title 1: SHORT MOTIF SEQUENCES DETERMINE THE TARGETS OF THE PROKARYOTIC CRISPR DEFENCE SYSTEM	Title 2: RNA-GUIDED RNA CLEAVAGE BY A CRISPR RNA-CAS PROTEIN COMPLEX	Authors: [:mojica, almendros, diez-villasenor, garcia-martinez]	Authors: [:hale, duff, graveley, olson, terns, terns, wells, zhao]	
Pair #: 48	Jaccard: 0.3333333333333333	Title 1: REGULATION OF TRANSLATION INITIATION IN EUKARYOTES: MECHANISMS AND BIOLOGICAL TARGETS	Title 2: A GENOME-WIDE RNAI SCREEN FOR MODIFIERS OF THE CIRCADIAN CLOCK IN HUMAN CELLS	Authors: [:sonenberg, hinnebusch]	Authors: [:zhang, atwood, hirota, hogenesch, huss, janes, kay, liu, liu, miraglia, pongsawakul, su, welch]	
Pair #: 49	Jaccard: 0.3333333333333333	Title 1: REGULATION OF TRANSLATION INITIATION IN EUKARYOTES: MECHANISMS AND BIOLOGICAL TARGETS	Title 2: MOLECULAR MECHANISMS OF MTOR-MEDIATED TRANSLATIONAL CONTROL	Authors: [:sonenberg, hinnebusch]	Authors: [:ma, blenis]	
Pair #: 50	Jaccard: 0.3333333333333333	Title 1: MOLECULAR MECHANISMS OF MTOR-MEDIATED TRANSLATIONAL CONTROL	Title 2: A GENOME-WIDE RNAI SCREEN FOR MODIFIERS OF THE CIRCADIAN CLOCK IN HUMAN CELLS	Authors: [:ma, blenis]	Authors: [:zhang, atwood, hirota, hogenesch, huss, janes, kay, liu, liu, miraglia, pongsawakul, su, welch]	
Pair #: 51	Jaccard: 0.3333333333333333	Title 1: EXPLORING CONFORMATIONAL MODES OF MACROMOLECULAR ASSEMBLIES BY MULTIPARTICLE CRYO-EM	Title 2: DETECTIVE QUANTUM EFFICIENCY OF ELECTRON AREA DETECTORS IN ELECTRON MICROSCOPY	Authors: [:spahn, penczek]	Authors: [:mcmullan, chen, faruqi, henderson]	
Pair #: 52	Jaccard: 0.3333333333333333	Title 1: DNA TARGETS OF AID: EVOLUTIONARY LINK BETWEEN ANTIBODY SOMATIC HYPERMUTATION AND CLASS SWITCH RECOMBINATION	Title 2: BALANCING AID AND DNA REPAIR DURING SOMATIC HYPERMUTATION	Authors: [:hackney, garris, lorenzo, misaghi, senger, sun, zarrin]	Authors: [:liu, schatz]	
Pair #: 53	Jaccard: 0.3333333333333333	Title 1: AIM2 RECOGNIZES CYTOSOLIC DSDNA AND FORMS A CASPASE-1-ACTIVATING INFLAMMASOME WITH ASC	Title 2: AIM2 ACTIVATES THE INFLAMMASOME AND CELL DEATH IN RESPONSE TO CYTOPLASMIC DNA	Authors: [:hornung, ablasser, bauernfeind, caffrey, charrel-dennis, fitzgerald, horvath, latz]	Authors: [:fernandes-alnemri, alnemri, datta, wu, yu]	
Pair #: 54	Jaccard: 0.3333333333333333	Title 1: TRAIT-ASSOCIATED SNPS ARE MORE LIKELY TO BE EQTLS: ANNOTATION TO ENHANCE DISCOVERY FROM GWAS	Title 2: A BAYESIAN FRAMEWORK TO ACCOUNT FOR COMPLEX NON-GENETIC FACTORS IN GENE EXPRESSION LEVELS GREATLY INCREASES POWER IN EQTL STUDIES	Authors: [:nicolae, cox, dolan, duan, gamazon, zhang]	Authors: [:stegle, durbin, parts, winn]	
Pair #: 55	Jaccard: 0.3333333333333333	Title 1: THE IN VIVO PATTERN OF BINDING OF RAG1 AND RAG2 TO ANTIGEN RECEPTOR LOCI	Title 2: RSSSITE: A REFERENCE DATABASE AND PREDICTION TOOL FOR THE IDENTIFICATION OF CRYPTIC RECOMBINATION SIGNAL SEQUENCES IN HUMAN AND MURINE GENOMES	Authors: [:ji, casellas, corbett, resch, schatz, yamane]	Authors: [:merelli, bonnal, cocito, fabbri, furia, grazini, guffanti, mcblane, milanesi]	
Pair #: 56	Jaccard: 0.3333333333333333	Title 1: THE HIPPO TUMOR PATHWAY PROMOTES TAZ DEGRADATION BY PHOSPHORYLATING A PHOSPHODEGRON AND RECRUITING THE SCF BETA-TRCP E3 LIGASE	Title 2: THE HIPPO SIGNALING PATHWAY IN DEVELOPMENT AND CANCER	Authors: [:liu, chan, guan, hong, huang, lei, li, lim, xiong, zha, zhang, zhao, zhao, zhou]	Authors: [:pan]	
Pair #: 57	Jaccard: 0.3333333333333333	Title 1: THE GENEMANIA PREDICTION SERVER: BIOLOGICAL NETWORK INTEGRATION FOR GENE PRIORITIZATION AND PREDICTING GENE FUNCTION	Title 2: ANEUPLOIDY CONFERS QUANTITATIVE PROTEOME CHANGES AND PHENOTYPIC VARIATION IN BUDDING YEAST	Authors: [:warde-farley, bader, badrawi, chao, comes, donaldson, franz, grouios, kazi, lopes, maitland, montojo, morris, mostafavi, shao, wright, zuberi]	Authors: [:pavelka, bradford, florens, hattem, li, rancati, sanderson, saraf, zhu]	
Pair #: 58	Jaccard: 0.3333333333333333	Title 1: THE GENEMANIA PREDICTION SERVER: BIOLOGICAL NETWORK INTEGRATION FOR GENE PRIORITIZATION AND PREDICTING GENE FUNCTION	Title 2: DR JEKYLL AND MR HYDE: ROLE OF ANEUPLOIDY IN CELLULAR ADAPTATION AND CANCER	Authors: [:warde-farley, bader, badrawi, chao, comes, donaldson, franz, grouios, kazi, lopes, maitland, montojo, morris, mostafavi, shao, wright, zuberi]	Authors: [:pavelka, li, rancati]	
Pair #: 59	Jaccard: 0.3333333333333333	Title 1: SURPRISING GENE EXPRESSION PATTERNS WITHIN AND BETWEEN PDF-CONTAINING CIRCADIAN NEURONS IN DROSOPHILA	Title 2: JTK_CYCLE: AN EFFICIENT NONPARAMETRIC ALGORITHM FOR DETECTING RHYTHMIC COMPONENTS IN GENOME-SCALE DATA SETS	Authors: [:kula-eversole, allada, nagoshi, rodriguez, rosbash, shang]	Authors: [:hughes, hogenesch, kornacker]	
Pair #: 60	Jaccard: 0.3333333333333333	Title 1: STRUCTURAL CHANGES OF ENVELOPE PROTEINS DURING ALPHAVIRUS FUSION	Title 2: GLYCOPROTEIN ORGANIZATION OF CHIKUNGUNYA VIRUS PARTICLES REVEALED BY X-RAY CRYSTALLOGRAPHY	Authors: [:li, jose, kuhn, rossmann, xiang]	Authors: [:voss, bricogne, crublet, duquerroy, girard-blanc, rey, thompson, vaney, vonrhein]	
Pair #: 61	Jaccard: 0.3333333333333333	Title 1: RELATIONSHIP BETWEEN NUCLEOSOME POSITIONING AND DNA METHYLATION	Title 2: C-MYC REGULATES TRANSCRIPTIONAL PAUSE RELEASE	Authors: [:chodavarapu, bernal, bernatavichute, casero, chen, clark, cokus, feng, hetzel, huijser, jacobsen, kim, kraemer, kuo, merchant, pellegrini, stroud, yu, zhang]	Authors: [:rahl, burge, flynn, lin, mccuine, seila, sharp, young]	
